"","Report_Year","NeighbourhoodName","Premises_Type"
"376",2014,"East End-Danforth","Commercial"
"377",2014,"Church-Yonge Corridor","Apartment"
"378",2014,"North Riverdale","House"
"379",2014,"Junction Area","House"
"380",2014,"Annex","Outside"
"381",2014,"Cabbagetown-South St.James Town","Outside"
"382",2014,"North St.James Town","Apartment"
"383",2014,"Kensington-Chinatown","Apartment"
"384",2017,"Kensington-Chinatown","Apartment"
"385",2014,"Moss Park","Commercial"
"386",2014,"Birchcliffe-Cliffside","Outside"
"387",2014,"Greenwood-Coxwell","Commercial"
"388",2014,"North St.James Town","Outside"
"389",2014,"Don Valley Village","House"
"390",2014,"Mount Pleasant West","House"
"391",2014,"Cabbagetown-South St.James Town","Outside"
"392",2014,"Bay Street Corridor","Outside"
"393",2014,"Church-Yonge Corridor","Outside"
"394",2014,"Briar Hill-Belgravia","Other"
"395",2014,"Annex","Outside"
"396",2014,"Markland Wood","House"
"397",2014,"Waterfront Communities-The Island","Commercial"
"398",2014,"Moss Park","Outside"
"399",2014,"Leaside-Bennington","Other"
"400",2014,"Church-Yonge Corridor","Educational"
"401",2014,"Bay Street Corridor","Other"
"402",2014,"High Park North","House"
"403",2014,"Little Portugal","Other"
"404",2014,"Waterfront Communities-The Island","Outside"
"405",2014,"Clanton Park","Outside"
"406",2014,"Little Portugal","Other"
"407",2014,"Highland Creek","Educational"
"408",2014,"Cabbagetown-South St.James Town","Outside"
"409",2014,"Highland Creek","Educational"
"410",2014,"Little Portugal","House"
"411",2014,"High Park-Swansea","Other"
"412",2014,"Bedford Park-Nortown","Commercial"
"413",2014,"Waterfront Communities-The Island","Outside"
"414",2014,"Church-Yonge Corridor","Outside"
"415",2014,"Weston-Pellam Park","Outside"
"416",2014,"Church-Yonge Corridor","Outside"
"417",2014,"Westminster-Branson","Apartment"
"418",2014,"Kensington-Chinatown","Outside"
"419",2014,"Yonge-Eglinton","Outside"
"420",2014,"Playter Estates-Danforth","Other"
"421",2014,"Waterfront Communities-The Island","Commercial"
"422",2014,"Waterfront Communities-The Island","Apartment"
"423",2014,"Bay Street Corridor","Outside"
"424",2014,"Bay Street Corridor","Outside"
"425",2014,"Newtonbrook East","Transit"
"426",2014,"Oakridge","Other"
"427",2014,"Long Branch","Apartment"
"428",2014,"Malvern","House"
"429",2014,"Bay Street Corridor","Outside"
"430",2014,"Bay Street Corridor","Outside"
"431",2014,"Bay Street Corridor","Other"
"432",2014,"Waterfront Communities-The Island","Apartment"
"433",2014,"Cabbagetown-South St.James Town","Outside"
"434",2014,"Markland Wood","Commercial"
"435",2014,"Annex","Outside"
"436",2014,"Markland Wood","House"
"437",2014,"Church-Yonge Corridor","Outside"
"438",2014,"Dovercourt-Wallace Emerson-Junction","Other"
"439",2014,"Playter Estates-Danforth","Outside"
"440",2014,"Church-Yonge Corridor","Outside"
"441",2014,"Guildwood","House"
"442",2014,"Church-Yonge Corridor","Outside"
"443",2014,"Church-Yonge Corridor","Outside"
"444",2014,"Church-Yonge Corridor","Commercial"
"445",2014,"Thorncliffe Park","Outside"
"446",2014,"North Riverdale","Outside"
"447",2014,"Don Valley Village","Transit"
"448",2014,"Bay Street Corridor","Outside"
"449",2014,"Bay Street Corridor","Outside"
"450",2014,"Banbury-Don Mills","Outside"
"451",2014,"University","Outside"
"452",2014,"Church-Yonge Corridor","Other"
"453",2014,"Annex","Outside"
"454",2014,"Junction Area","Apartment"
"455",2014,"Westminster-Branson","Outside"
"456",2014,"Newtonbrook West","House"
"457",2014,"Newtonbrook East","Outside"
"458",2014,"Waterfront Communities-The Island","Outside"
"459",2014,"Long Branch","House"
"460",2014,"Kensington-Chinatown","Outside"
"461",2014,"Waterfront Communities-The Island","Outside"
"462",2014,"Playter Estates-Danforth","Transit"
"463",2014,"Waterfront Communities-The Island","Outside"
"464",2014,"University","Educational"
"465",2014,"Cliffcrest","Outside"
"466",2014,"Danforth East York","Other"
"467",2014,"University","Educational"
"468",2014,"Leaside-Bennington","Commercial"
"469",2014,"Waterfront Communities-The Island","Outside"
"470",2014,"Rosedale-Moore Park","House"
"471",2014,"Bayview Village","Outside"
"472",2014,"Waterfront Communities-The Island","Other"
"473",2014,"Bay Street Corridor","Outside"
"474",2014,"University","Educational"
"475",2014,"University","Educational"
"476",2014,"University","Educational"
"477",2014,"Bay Street Corridor","Outside"
"478",2014,"Dufferin Grove","Outside"
"479",2014,"Rosedale-Moore Park","Outside"
"480",2014,"Thistletown-Beaumond Heights","House"
"481",2014,"Church-Yonge Corridor","Outside"
"482",2014,"Kensington-Chinatown","Commercial"
"483",2014,"Willowdale East","Apartment"
"484",2014,"South Riverdale","Outside"
"485",2014,"University","Educational"
"486",2014,"Church-Yonge Corridor","Outside"
"487",2014,"East End-Danforth","Transit"
"488",2014,"Moss Park","Outside"
"489",2014,"Bay Street Corridor","Outside"
"490",2014,"West Hill","Outside"
"491",2014,"University","Educational"
"492",2014,"Lawrence Park South","Educational"
"493",2014,"Bay Street Corridor","Outside"
"494",2014,"Etobicoke West Mall","House"
"495",2014,"Broadview North","Outside"
"496",2014,"Bay Street Corridor","Outside"
